pde,algorithm,n_obs,obs_noise,f1_l2_error,f2_pde_residual,f3_data_budget,lam_data,lam_pde,n_collocation,balancer,hidden_dim,n_layers,mode,n_runs
poisson,baseline_fixed,0.0,0.0,0.52921062707901,0.8192854523658752,200.0,1.0,1.0,200.0,fixed,50.0,4.0,,
burgers,baseline_fixed,0.0,0.0,1.0,0.1240576729178428,200.0,1.0,1.0,200.0,fixed,50.0,4.0,,
,,,,,,,,,,,,,grid,36.0
burgers,baseline_fixed,0.0,0.0,1.0,0.0919809564948082,200.0,1.0,1.0,200.0,fixed,50.0,4.0,,
burgers,baseline_fixed,0.0,0.0,1.0,0.0479608327150344,200.0,1.0,1.0,200.0,fixed,50.0,4.0,,
poisson,baseline_fixed,0.0,0.0,0.0004969539004378,0.0096793081611394,200.0,1.0,1.0,200.0,fixed,50.0,4.0,,
,,,,,,,,,,,,,grid,36.0
,,,,,,,,,,,,,grid,36.0
,,,,,,,,,,,,,grid,36.0
burgers,baseline_fixed,20.0,0.05,,,220.0,1.0,1.0,200.0,fixed,50.0,4.0,,
,,,,,,,,,,,,,grid,36.0
,,,,,,,,,,,,,grid,36.0
,,,,,,,,,,,,,grid,36.0
,,,,,,,,,,,,,grid,36.0
