pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,f1_l2_error,f2_pde_residual,f3_data_budget,balancer,hidden_dim,n_layers
burgers,grid,0.0,0.0,1.0,1.0,100.0,0.3261100843209688,0.030933966860175133,100.0,fixed,50.0,4.0
burgers,grid,0.0,0.0,1.0,1.0,200.0,0.39893955401838416,0.039842639118433,200.0,fixed,50.0,4.0
burgers,grid,0.0,0.0,1.0,1.0,300.0,0.2748002573442347,0.03083743155002594,300.0,fixed,50.0,4.0
burgers,grid,0.0,0.0,1.0,10.0,100.0,0.3223230427985573,0.011412634514272213,100.0,fixed,50.0,4.0
burgers,grid,0.0,0.0,1.0,10.0,200.0,0.45319929207836246,0.016473811119794846,200.0,fixed,50.0,4.0
burgers,grid,0.0,0.0,1.0,10.0,300.0,0.48916035496838184,0.014289900660514832,300.0,fixed,50.0,4.0
burgers,grid,0.0,0.0,10.0,1.0,100.0,0.4851767990888521,0.013183397240936756,100.0,fixed,50.0,4.0
burgers,grid,0.0,0.0,10.0,1.0,200.0,0.2867775957305805,0.05988685041666031,200.0,fixed,50.0,4.0
burgers,grid,0.0,0.0,10.0,1.0,300.0,0.3657685064088328,0.14686645567417145,300.0,fixed,50.0,4.0
burgers,grid,0.0,0.0,10.0,10.0,100.0,0.39310226120473646,0.009646591730415821,100.0,fixed,50.0,4.0
burgers,grid,0.0,0.0,10.0,10.0,200.0,0.33807021326578085,0.014123604632914066,200.0,fixed,50.0,4.0
burgers,grid,0.0,0.0,10.0,10.0,300.0,0.4030987395317647,0.04886576533317566,300.0,fixed,50.0,4.0
