pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed,experiment
poisson,grid,0.0,0.0,0.1,0.1,100.0,fixed,0.0041026677936315,0.033397439867258,100.0,50.0,4.0,0,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,0.1,200.0,fixed,0.0047694449312984,0.0427711755037307,200.0,50.0,4.0,0,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,0.1,300.0,fixed,0.0031914631836116,0.0432973764836788,300.0,50.0,4.0,0,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,1.0,100.0,fixed,0.0930146649479866,0.0117528559640049,100.0,50.0,4.0,0,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,1.0,200.0,fixed,0.0218857042491436,0.0112235341221094,200.0,50.0,4.0,0,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,1.0,300.0,fixed,0.0918152779340744,0.0280195549130439,300.0,50.0,4.0,0,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,10.0,100.0,fixed,1.7187923192977903,0.0208421070128679,100.0,50.0,4.0,0,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,10.0,200.0,fixed,2.139507293701172,0.0370208732783794,200.0,50.0,4.0,0,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,10.0,300.0,fixed,2.209710121154785,0.0166318956762552,300.0,50.0,4.0,0,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,0.1,100.0,fixed,0.000706426333636,0.0405487827956676,100.0,50.0,4.0,0,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,0.1,200.0,fixed,0.0012137105222791,0.0376650467514991,200.0,50.0,4.0,0,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,0.1,300.0,fixed,0.0007617908413521,0.0548435524106025,300.0,50.0,4.0,0,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,1.0,100.0,fixed,0.0029519358649849,0.0298246052116155,100.0,50.0,4.0,0,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,1.0,200.0,fixed,0.0063481861725449,0.0565306469798088,200.0,50.0,4.0,0,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,1.0,300.0,fixed,0.0073841651901602,0.0559967048466205,300.0,50.0,4.0,0,poisson_grid_clean
