pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed
burgers,grid,0.0,0.0,1.0,1.0,100.0,fixed,0.45257224028399895,0.06737533956766129,100.0,50.0,4.0,0
burgers,grid,0.0,0.0,1.0,1.0,200.0,fixed,0.451571848692634,0.06790584325790405,200.0,50.0,4.0,0
burgers,grid,0.0,0.0,1.0,1.0,300.0,fixed,0.4699497931672219,0.09076523780822754,300.0,50.0,4.0,0
burgers,grid,0.0,0.0,1.0,10.0,100.0,fixed,0.6540060873986971,0.02524947002530098,100.0,50.0,4.0,0
burgers,grid,0.0,0.0,1.0,10.0,200.0,fixed,0.6106889967625743,0.026398073881864548,200.0,50.0,4.0,0
burgers,grid,0.0,0.0,1.0,10.0,300.0,fixed,0.618354062179834,0.02377874217927456,300.0,50.0,4.0,0
burgers,grid,0.0,0.0,10.0,1.0,100.0,fixed,0.48153043459115286,0.2679535150527954,100.0,50.0,4.0,0
burgers,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.4496813153735872,0.25840628147125244,200.0,50.0,4.0,0
burgers,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.48562680066505653,0.35356462001800537,300.0,50.0,4.0,0
burgers,grid,0.0,0.0,10.0,10.0,100.0,fixed,0.5825937900606258,0.08575568348169327,100.0,50.0,4.0,0
burgers,grid,0.0,0.0,10.0,10.0,200.0,fixed,0.5677726061147931,0.11227775365114212,200.0,50.0,4.0,0
burgers,grid,0.0,0.0,10.0,10.0,300.0,fixed,0.4669568976194172,0.06770574301481247,300.0,50.0,4.0,0
burgers,grid,0.0,0.0,1.0,1.0,100.0,fixed,0.43733146163464337,0.0416451133787632,100.0,50.0,4.0,1
burgers,grid,0.0,0.0,1.0,1.0,200.0,fixed,0.4122505902610691,0.09803614765405655,200.0,50.0,4.0,1
burgers,grid,0.0,0.0,1.0,1.0,300.0,fixed,0.4574455006824965,0.08201492577791214,300.0,50.0,4.0,1
burgers,grid,0.0,0.0,1.0,10.0,100.0,fixed,0.4694212178072016,0.02746647782623768,100.0,50.0,4.0,1
burgers,grid,0.0,0.0,1.0,10.0,200.0,fixed,0.5966846102290166,0.02406405657529831,200.0,50.0,4.0,1
burgers,grid,0.0,0.0,1.0,10.0,300.0,fixed,0.5738381271189726,0.02216782420873642,300.0,50.0,4.0,1
burgers,grid,0.0,0.0,10.0,1.0,100.0,fixed,0.5418076272908572,0.2271830439567566,100.0,50.0,4.0,1
burgers,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.49399766367730447,0.33434295654296875,200.0,50.0,4.0,1
burgers,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.418879236170332,0.27264100313186646,300.0,50.0,4.0,1
burgers,grid,0.0,0.0,10.0,10.0,100.0,fixed,0.5510438353585945,0.07730358839035034,100.0,50.0,4.0,1
burgers,grid,0.0,0.0,10.0,10.0,200.0,fixed,0.49109483124660946,0.0841360092163086,200.0,50.0,4.0,1
burgers,grid,0.0,0.0,10.0,10.0,300.0,fixed,0.48805079234035853,0.07574474066495895,300.0,50.0,4.0,1
burgers,grid,0.0,0.0,1.0,1.0,100.0,fixed,0.5525195429619869,0.06424954533576965,100.0,50.0,4.0,2
burgers,grid,0.0,0.0,1.0,1.0,200.0,fixed,0.5078847149711805,0.0902184471487999,200.0,50.0,4.0,2
burgers,grid,0.0,0.0,1.0,1.0,300.0,fixed,0.5099571175110239,0.09288956969976425,300.0,50.0,4.0,2
burgers,grid,0.0,0.0,1.0,10.0,100.0,fixed,0.5940819782554597,0.024283871054649353,100.0,50.0,4.0,2
burgers,grid,0.0,0.0,1.0,10.0,200.0,fixed,0.5917713651619932,0.02144775539636612,200.0,50.0,4.0,2
burgers,grid,0.0,0.0,1.0,10.0,300.0,fixed,0.7110362544393225,0.03055701218545437,300.0,50.0,4.0,2
