pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed,real_data,real_data_sigma
burgers,grid,50.0,0.0,1.0,1.0,100.0,fixed,0.41093104842907446,0.041068095713853836,150.0,50.0,4.0,0,True,0.024413945694618782
burgers,grid,50.0,0.0,1.0,1.0,200.0,fixed,0.4505159838310031,0.07425395399332047,250.0,50.0,4.0,0,True,0.024413945694618782
burgers,grid,50.0,0.0,1.0,1.0,300.0,fixed,0.36470861385248776,0.07568381726741791,350.0,50.0,4.0,0,True,0.024413945694618782
burgers,grid,50.0,0.0,1.0,10.0,100.0,fixed,0.6311254515422817,0.024399058893322945,150.0,50.0,4.0,0,True,0.024413945694618782
burgers,grid,50.0,0.0,1.0,10.0,200.0,fixed,0.5721126723063386,0.026415091007947922,250.0,50.0,4.0,0,True,0.024413945694618782
burgers,grid,50.0,0.0,1.0,10.0,300.0,fixed,0.5756039319206067,0.02211177907884121,350.0,50.0,4.0,0,True,0.024413945694618782
burgers,grid,50.0,0.0,10.0,1.0,100.0,fixed,0.4338248623340226,0.24405941367149353,150.0,50.0,4.0,0,True,0.024413945694618782
burgers,grid,50.0,0.0,10.0,1.0,200.0,fixed,0.24673113335171443,0.146382674574852,250.0,50.0,4.0,0,True,0.024413945694618782
burgers,grid,50.0,0.0,10.0,1.0,300.0,fixed,0.4074016987484787,0.29321518540382385,350.0,50.0,4.0,0,True,0.024413945694618782
burgers,grid,50.0,0.0,10.0,10.0,100.0,fixed,0.43522954463057084,0.0909573957324028,150.0,50.0,4.0,0,True,0.024413945694618782
burgers,grid,50.0,0.0,10.0,10.0,200.0,fixed,0.5015596743117605,0.08476564288139343,250.0,50.0,4.0,0,True,0.024413945694618782
burgers,grid,50.0,0.0,10.0,10.0,300.0,fixed,0.4378284527616619,0.07310452312231064,350.0,50.0,4.0,0,True,0.024413945694618782
burgers,grid,50.0,0.0,1.0,1.0,100.0,fixed,0.3281358997061909,0.053293827921152115,150.0,50.0,4.0,1,True,0.019384081862078167
burgers,grid,50.0,0.0,1.0,1.0,200.0,fixed,0.3636444778393531,0.06426532566547394,250.0,50.0,4.0,1,True,0.019384081862078167
burgers,grid,50.0,0.0,1.0,1.0,300.0,fixed,0.4384333000625621,0.07407823204994202,350.0,50.0,4.0,1,True,0.019384081862078167
burgers,grid,50.0,0.0,1.0,10.0,100.0,fixed,0.45978838888701423,0.027789246290922165,150.0,50.0,4.0,1,True,0.019384081862078167
burgers,grid,50.0,0.0,1.0,10.0,200.0,fixed,0.5317408541387706,0.025543594732880592,250.0,50.0,4.0,1,True,0.019384081862078167
burgers,grid,50.0,0.0,1.0,10.0,300.0,fixed,0.5667770854226061,0.025763174518942833,350.0,50.0,4.0,1,True,0.019384081862078167
burgers,grid,50.0,0.0,10.0,1.0,100.0,fixed,0.30487814380815215,0.15254737436771393,150.0,50.0,4.0,1,True,0.019384081862078167
burgers,grid,50.0,0.0,10.0,1.0,200.0,fixed,0.37910283912450526,0.25364014506340027,250.0,50.0,4.0,1,True,0.019384081862078167
burgers,grid,50.0,0.0,10.0,1.0,300.0,fixed,0.3317671707401967,0.22524312138557434,350.0,50.0,4.0,1,True,0.019384081862078167
burgers,grid,50.0,0.0,10.0,10.0,100.0,fixed,0.3992878652717213,0.05100829154253006,150.0,50.0,4.0,1,True,0.019384081862078167
burgers,grid,50.0,0.0,10.0,10.0,200.0,fixed,0.4921310353312651,0.08547184616327286,250.0,50.0,4.0,1,True,0.019384081862078167
burgers,grid,50.0,0.0,10.0,10.0,300.0,fixed,0.44074796973237085,0.07816631346940994,350.0,50.0,4.0,1,True,0.019384081862078167
burgers,grid,50.0,0.0,1.0,1.0,100.0,fixed,0.4131592930575545,0.07297100871801376,150.0,50.0,4.0,2,True,0.01598179312014096
burgers,grid,50.0,0.0,1.0,1.0,200.0,fixed,0.48032006837272034,0.08418670296669006,250.0,50.0,4.0,2,True,0.01598179312014096
burgers,grid,50.0,0.0,1.0,1.0,300.0,fixed,0.4567698385625827,0.08610372245311737,350.0,50.0,4.0,2,True,0.01598179312014096
burgers,grid,50.0,0.0,1.0,10.0,100.0,fixed,0.4939675196111469,0.026017306372523308,150.0,50.0,4.0,2,True,0.01598179312014096
burgers,grid,50.0,0.0,1.0,10.0,200.0,fixed,0.6010684735821039,0.03024407848715782,250.0,50.0,4.0,2,True,0.01598179312014096
burgers,grid,50.0,0.0,1.0,10.0,300.0,fixed,0.5955294315794696,0.030117256566882133,350.0,50.0,4.0,2,True,0.01598179312014096
burgers,grid,50.0,0.0,10.0,1.0,100.0,fixed,0.3969951074142405,0.19539222121238708,150.0,50.0,4.0,2,True,0.01598179312014096
burgers,grid,50.0,0.0,10.0,1.0,200.0,fixed,0.3746743649529138,0.2482808232307434,250.0,50.0,4.0,2,True,0.01598179312014096
burgers,grid,50.0,0.0,10.0,1.0,300.0,fixed,0.3314408358788142,0.23087264597415924,350.0,50.0,4.0,2,True,0.01598179312014096
burgers,grid,50.0,0.0,10.0,10.0,100.0,fixed,0.310899703355156,0.06542646884918213,150.0,50.0,4.0,2,True,0.01598179312014096
burgers,grid,50.0,0.0,10.0,10.0,200.0,fixed,0.4371713499984798,0.08145193010568619,250.0,50.0,4.0,2,True,0.01598179312014096
burgers,grid,50.0,0.0,10.0,10.0,300.0,fixed,0.5031776548559975,0.09074100852012634,350.0,50.0,4.0,2,True,0.01598179312014096
