pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed
burgers,grid_gradnorm,0.0,0.0,1.0,1.0,100.0,gradnorm,0.7283912460837763,0.06222826987504959,100.0,50.0,4.0,0
burgers,grid_gradnorm,0.0,0.0,1.0,1.0,200.0,gradnorm,1.006587275176409,0.001322051975876093,200.0,50.0,4.0,0
burgers,grid_gradnorm,0.0,0.0,1.0,1.0,300.0,gradnorm,0.8877019177631377,0.006332896184176207,300.0,50.0,4.0,0
burgers,grid_gradnorm,0.0,0.0,1.0,1.0,100.0,gradnorm,1.0081163347222233,0.0011642928002402186,100.0,50.0,4.0,1
burgers,grid_gradnorm,0.0,0.0,1.0,1.0,200.0,gradnorm,0.8913286156888439,0.005665183067321777,200.0,50.0,4.0,1
burgers,grid_gradnorm,0.0,0.0,1.0,1.0,300.0,gradnorm,0.8956351260049847,0.005421746056526899,300.0,50.0,4.0,1
burgers,grid_gradnorm,0.0,0.0,1.0,1.0,100.0,gradnorm,0.8971435431258691,0.0051625873893499374,100.0,50.0,4.0,2
burgers,grid_gradnorm,0.0,0.0,1.0,1.0,200.0,gradnorm,0.8302985790212883,0.015114469453692436,200.0,50.0,4.0,2
burgers,grid_gradnorm,0.0,0.0,1.0,1.0,300.0,gradnorm,0.9744676905324695,0.0014976542443037033,300.0,50.0,4.0,2
burgers,grid_gradnorm,0.0,0.0,1.0,1.0,100.0,gradnorm,0.8927490679344985,0.006128534208983183,100.0,50.0,4.0,3
burgers,grid_gradnorm,0.0,0.0,1.0,1.0,200.0,gradnorm,0.969657714904001,0.001937453169375658,200.0,50.0,4.0,3
burgers,grid_gradnorm,0.0,0.0,1.0,1.0,300.0,gradnorm,1.0524525989957836,0.005441802088171244,300.0,50.0,4.0,3
burgers,grid_gradnorm,0.0,0.0,1.0,1.0,100.0,gradnorm,0.9790154818527704,0.001764396671205759,100.0,50.0,4.0,4
burgers,grid_gradnorm,0.0,0.0,1.0,1.0,200.0,gradnorm,1.1179155144347506,0.004943402949720621,200.0,50.0,4.0,4
burgers,grid_gradnorm,0.0,0.0,1.0,1.0,300.0,gradnorm,0.9827707274555268,0.0012680378276854753,300.0,50.0,4.0,4
