pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed
burgers,grid,20.0,0.1,1.0,1.0,100.0,fixed,0.42037607208671746,0.047285404056310654,120.0,50.0,4.0,0
burgers,grid,20.0,0.1,1.0,1.0,200.0,fixed,0.4242861022950218,0.056539386510849,220.0,50.0,4.0,0
burgers,grid,20.0,0.1,1.0,1.0,300.0,fixed,0.4885206392267831,0.08176843822002411,320.0,50.0,4.0,0
burgers,grid,20.0,0.1,1.0,10.0,100.0,fixed,0.5911372295326858,0.02432086318731308,120.0,50.0,4.0,0
burgers,grid,20.0,0.1,1.0,10.0,200.0,fixed,0.6454968052299849,0.02241409756243229,220.0,50.0,4.0,0
burgers,grid,20.0,0.1,1.0,10.0,300.0,fixed,0.6155203869286482,0.02302197553217411,320.0,50.0,4.0,0
burgers,grid,20.0,0.1,10.0,1.0,100.0,fixed,0.4603644860112597,0.22716228663921356,120.0,50.0,4.0,0
burgers,grid,20.0,0.1,10.0,1.0,200.0,fixed,0.4347290840901277,0.19270166754722595,220.0,50.0,4.0,0
burgers,grid,20.0,0.1,10.0,1.0,300.0,fixed,0.39196515181715236,0.31732162833213806,320.0,50.0,4.0,0
burgers,grid,20.0,0.1,10.0,10.0,100.0,fixed,0.4828074144425406,0.09925775229930878,120.0,50.0,4.0,0
burgers,grid,20.0,0.1,10.0,10.0,200.0,fixed,0.6874848525596038,0.09146716445684433,220.0,50.0,4.0,0
burgers,grid,20.0,0.1,10.0,10.0,300.0,fixed,0.4629212470045156,0.06927326321601868,320.0,50.0,4.0,0
burgers,grid,20.0,0.1,1.0,1.0,100.0,fixed,0.32608045057530516,0.051379453390836716,120.0,50.0,4.0,1
burgers,grid,20.0,0.1,1.0,1.0,200.0,fixed,0.4571624823746527,0.08253578096628189,220.0,50.0,4.0,1
burgers,grid,20.0,0.1,1.0,1.0,300.0,fixed,0.42601582807056954,0.07351434975862503,320.0,50.0,4.0,1
