pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed
burgers,grid_relobralo,0.0,0.0,1.0,1.0,100.0,relobralo,0.5228297838888648,0.06435620039701462,100.0,50.0,4.0,0
burgers,grid_relobralo,0.0,0.0,1.0,1.0,200.0,relobralo,0.482340015012748,0.05480029433965683,200.0,50.0,4.0,0
burgers,grid_relobralo,0.0,0.0,1.0,1.0,300.0,relobralo,0.4961368398605897,0.057119205594062805,300.0,50.0,4.0,0
burgers,grid_relobralo,0.0,0.0,1.0,1.0,100.0,relobralo,0.45577589386370954,0.0586075633764267,100.0,50.0,4.0,1
burgers,grid_relobralo,0.0,0.0,1.0,1.0,200.0,relobralo,0.4756883917655184,0.07581789046525955,200.0,50.0,4.0,1
burgers,grid_relobralo,0.0,0.0,1.0,1.0,300.0,relobralo,0.5098841348192159,0.06988994032144547,300.0,50.0,4.0,1
burgers,grid_relobralo,0.0,0.0,1.0,1.0,100.0,relobralo,0.46846492332722306,0.061500854790210724,100.0,50.0,4.0,2
burgers,grid_relobralo,0.0,0.0,1.0,1.0,200.0,relobralo,0.5649165840050975,0.07348552346229553,200.0,50.0,4.0,2
burgers,grid_relobralo,0.0,0.0,1.0,1.0,300.0,relobralo,0.5698583300730614,0.06899664551019669,300.0,50.0,4.0,2
burgers,grid_relobralo,0.0,0.0,1.0,1.0,100.0,relobralo,0.5718799516813865,0.07091670483350754,100.0,50.0,4.0,3
burgers,grid_relobralo,0.0,0.0,1.0,1.0,200.0,relobralo,0.5018563762916698,0.05852186307311058,200.0,50.0,4.0,3
burgers,grid_relobralo,0.0,0.0,1.0,1.0,300.0,relobralo,0.5259301265480117,0.06581804901361465,300.0,50.0,4.0,3
burgers,grid_relobralo,0.0,0.0,1.0,1.0,100.0,relobralo,0.3507427785212791,0.07064898312091827,100.0,50.0,4.0,4
burgers,grid_relobralo,0.0,0.0,1.0,1.0,200.0,relobralo,0.5268089908372837,0.06060715764760971,200.0,50.0,4.0,4
burgers,grid_relobralo,0.0,0.0,1.0,1.0,300.0,relobralo,0.5174187517645847,0.07031060010194778,300.0,50.0,4.0,4
