pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,f1_l2_error,f2_pde_residual,f3_data_budget,seed
burgers,nsga2,0,0.0,0.046241834412575365,4.71407873165487,140,0.913136566079749,0.003147923620417714,140.0,0
burgers,nsga2,0,0.0,2.9978191934833105,0.6334266628308227,66,0.3147059077061838,0.06419169902801514,66.0,0
burgers,nsga2,0,0.0,9.842788454096372,5.320964850068389,50,0.36167640927887035,0.05389226973056793,50.0,0
burgers,nsga2,0,0.0,0.021615200656513837,8.358005801608257,156,0.904634102900652,0.0019759631250053644,156.0,0
burgers,nsga2,0,0.0,0.046241834412575365,9.773000138301006,489,0.8964962517134896,0.0026480425149202347,489.0,0
burgers,nsga2,0,0.0,9.371154079858488,5.320964850068389,50,0.34698319491867496,0.07639749348163605,50.0,0
burgers,nsga2,0,0.0,0.16625982764976244,8.132889121763524,461,0.7155213691943307,0.01044653169810772,461.0,0
burgers,nsga2,0,0.0,0.0918805008027056,8.46177458944666,242,0.8375381983798472,0.0055253272876143456,242.0,0
burgers,nsga2,0,0.0,6.183791572645537,8.090072116019613,75,0.5123171625727719,0.020994797348976135,75.0,0
burgers,nsga2,0,0.0,0.3173215168306749,8.375005133726098,50,0.6161395325836421,0.016425274312496185,50.0,0
burgers,nsga2,0,0.0,3.1117772248272835,5.320964850068389,50,0.4516210537388041,0.02526109665632248,50.0,0
burgers,nsga2,0,0.0,9.220332693194242,4.986270337542315,51,0.42755570322765,0.03391348198056221,51.0,0
burgers,nsga2,0,0.0,9.516281253530323,8.132889121763524,52,0.3326277385120028,0.049056727439165115,52.0,0
burgers,nsga2,0,0.0,0.10611478624154638,4.741733963335175,98,0.8293596620311449,0.012923844158649445,98.0,0
burgers,nsga2,0,0.0,6.0400435793864995,8.095778476085115,57,0.3479171510885224,0.03602619096636772,57.0,0
burgers,nsga2,0,0.0,0.0010284191698828604,9.710166014644377,78,0.9427495879970819,0.001087042735889554,78.0,1
burgers,nsga2,0,0.0,8.400833632774942,9.323698122811424,70,0.5443917340456543,0.05825871229171753,70.0,1
burgers,nsga2,0,0.0,9.317838294184682,9.999702782456467,78,0.3818528902351081,0.06749571859836578,78.0,1
burgers,nsga2,0,0.0,9.918058417633109,9.710166014644377,89,0.32735523326514737,0.043608974665403366,89.0,1
burgers,nsga2,0,0.0,0.2927896091381781,6.468795107350186,297,0.7615030982746958,0.014097298495471478,297.0,1
burgers,nsga2,0,0.0,0.37846621132937663,9.318301595588059,105,0.68793937284294,0.02126096375286579,105.0,1
burgers,nsga2,0,0.0,1.6212532217170357,6.53671100460481,242,0.5033068489602556,0.03927171230316162,242.0,1
burgers,nsga2,0,0.0,1.6212532217170357,6.7202301818986685,246,0.43374383961489044,0.03870905935764313,246.0,1
burgers,nsga2,0,0.0,8.394758357233162,9.320993755185487,70,0.5882554107186286,0.02297179400920868,70.0,1
burgers,nsga2,0,0.0,0.3968891737653644,5.214063731915989,257,0.6076426215365278,0.019382735714316368,257.0,1
burgers,nsga2,0,0.0,9.972953106297043,9.710166014644377,81,0.3770961543655225,0.0543525367975235,81.0,1
burgers,nsga2,0,0.0,0.2810390949050232,9.188651069325774,73,0.7809134115582176,0.011912917718291283,73.0,1
burgers,nsga2,0,0.0,0.09147852398585885,5.428175370925684,78,0.8492027358117212,0.009107254445552826,78.0,1
burgers,nsga2,0,0.0,0.3968891737653644,9.937573443706366,257,0.7557286027033708,0.014499645680189133,257.0,1
burgers,nsga2,0,0.0,0.0946122891324786,9.192149854205466,72,0.8918286489291537,0.0055205258540809155,72.0,1
burgers,nsga2,0,0.0,2.06727389831815,6.529319971128758,50,0.4722154541514192,0.04104690998792648,50.0,2
burgers,nsga2,0,0.0,0.6094884576492324,9.517258918717308,388,0.6276185576948702,0.019612176343798637,388.0,2
burgers,nsga2,0,0.0,0.12022341505553974,9.10655910976535,374,0.872608909634336,0.008856766857206821,374.0,2
burgers,nsga2,0,0.0,8.532928787644412,6.286952832097254,93,0.259301924104624,0.07572223991155624,93.0,2
burgers,nsga2,0,0.0,2.0198725678469738,8.844612287209246,356,0.5552054143648254,0.03603382408618927,356.0,2
burgers,nsga2,0,0.0,0.23914302244856078,9.040021083844557,153,0.855057954425016,0.014910953119397163,153.0,2
burgers,nsga2,0,0.0,2.0198725678469738,9.040354113880543,210,0.5670511680731594,0.035284627228975296,210.0,2
burgers,nsga2,0,0.0,8.532928787644412,6.688583686242012,93,0.2682738876303291,0.04593579098582268,93.0,2
burgers,nsga2,0,0.0,8.060535033246406,6.601459157321276,70,0.30276501869001043,0.07286137342453003,70.0,2
burgers,nsga2,0,0.0,8.532928787644412,6.286952832097254,60,0.36073858256154995,0.05674336105585098,60.0,2
burgers,nsga2,0,0.0,7.941527125288574,6.438936693234134,55,0.3808062994880505,0.053889285773038864,55.0,2
burgers,nsga2,0,0.0,0.43828000187991845,9.428934370344185,93,0.7741178267822891,0.01542771514505148,93.0,2
burgers,nsga2,0,0.0,0.6094884576492324,9.644512675507823,67,0.6693966653637998,0.024603446945548058,67.0,2
burgers,nsga2,0,0.0,0.7090943473416824,9.635771241838253,87,0.699587710078603,0.02171584591269493,87.0,2
burgers,nsga2,0,0.0,0.532366163922579,5.909527838623065,207,0.5785718627921365,0.02236325666308403,207.0,2
burgers,nsga2,0,0.0,8.173116512468587,2.929165989757077,51,0.30011373496810484,0.03376314789056778,51.0,3
burgers,nsga2,0,0.0,0.6983527668864573,2.9590313205937644,53,0.40708107973025603,0.028454119339585304,53.0,3
burgers,nsga2,0,0.0,0.2021910318960498,3.5329400361220267,108,0.6211482618327471,0.02219257690012455,108.0,3
burgers,nsga2,0,0.0,6.31426825495793,2.776387719380274,50,0.26105578615279545,0.03701617941260338,50.0,3
burgers,nsga2,0,0.0,0.14716360324043842,3.5014251853965437,51,0.7678545316431319,0.016724269837141037,51.0,3
burgers,nsga2,0,0.0,0.14716360324043842,3.6028076157163875,110,0.6931170622753351,0.01844419538974762,110.0,3
