pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed,real_data,real_data_sigma
burgers,grid,20.0,0.0,1.0,1.0,100.0,fixed,0.4228569504130224,0.0461383238434791,120.0,50.0,4.0,0,True,0.0210818543923333
burgers,grid,20.0,0.0,1.0,1.0,200.0,fixed,0.4153622550969499,0.0526566319167614,220.0,50.0,4.0,0,True,0.0210818543923333
burgers,grid,20.0,0.0,1.0,1.0,300.0,fixed,0.4907526501721727,0.0810018703341484,320.0,50.0,4.0,0,True,0.0210818543923333
burgers,grid,20.0,0.0,1.0,10.0,100.0,fixed,0.5850961148805861,0.0250539202243089,120.0,50.0,4.0,0,True,0.0210818543923333
burgers,grid,20.0,0.0,1.0,10.0,200.0,fixed,0.6343839383745812,0.0226805582642555,220.0,50.0,4.0,0,True,0.0210818543923333
burgers,grid,20.0,0.0,1.0,10.0,300.0,fixed,0.6141610871464042,0.0325723327696323,320.0,50.0,4.0,0,True,0.0210818543923333
burgers,grid,20.0,0.0,10.0,1.0,100.0,fixed,0.4657077247481556,0.1869728416204452,120.0,50.0,4.0,0,True,0.0210818543923333
burgers,grid,20.0,0.0,10.0,1.0,200.0,fixed,0.4309893086008842,0.1561790108680725,220.0,50.0,4.0,0,True,0.0210818543923333
burgers,grid,20.0,0.0,10.0,1.0,300.0,fixed,0.4019352883762231,0.3287663757801056,320.0,50.0,4.0,0,True,0.0210818543923333
burgers,grid,20.0,0.0,10.0,10.0,100.0,fixed,0.4787327193881194,0.0861940383911132,120.0,50.0,4.0,0,True,0.0210818543923333
burgers,grid,20.0,0.0,10.0,10.0,200.0,fixed,0.7103514738868583,0.086905263364315,220.0,50.0,4.0,0,True,0.0210818543923333
burgers,grid,20.0,0.0,10.0,10.0,300.0,fixed,0.4617810589199956,0.0668578520417213,320.0,50.0,4.0,0,True,0.0210818543923333
burgers,grid,20.0,0.0,1.0,1.0,100.0,fixed,0.3245181430176206,0.0502463206648826,120.0,50.0,4.0,1,True,0.028696232783899
burgers,grid,20.0,0.0,1.0,1.0,200.0,fixed,0.4202309961941683,0.079797126352787,220.0,50.0,4.0,1,True,0.028696232783899
burgers,grid,20.0,0.0,1.0,1.0,300.0,fixed,0.4237425334170706,0.0734148547053337,320.0,50.0,4.0,1,True,0.028696232783899
burgers,grid,20.0,0.0,1.0,10.0,100.0,fixed,0.5483062010717376,0.0266887377947568,120.0,50.0,4.0,1,True,0.028696232783899
burgers,grid,20.0,0.0,1.0,10.0,200.0,fixed,0.6679583123755539,0.0249753315001726,220.0,50.0,4.0,1,True,0.028696232783899
burgers,grid,20.0,0.0,1.0,10.0,300.0,fixed,0.5828912812379388,0.0211509708315134,320.0,50.0,4.0,1,True,0.028696232783899
burgers,grid,20.0,0.0,10.0,1.0,100.0,fixed,0.5368068111281384,0.2088911086320877,120.0,50.0,4.0,1,True,0.028696232783899
burgers,grid,20.0,0.0,10.0,1.0,200.0,fixed,0.3742430730559475,0.2723653614521026,220.0,50.0,4.0,1,True,0.028696232783899
burgers,grid,20.0,0.0,10.0,1.0,300.0,fixed,0.3872696086712627,0.250199943780899,320.0,50.0,4.0,1,True,0.028696232783899
burgers,grid,20.0,0.0,10.0,10.0,100.0,fixed,0.5117348165080093,0.0850099548697471,120.0,50.0,4.0,1,True,0.028696232783899
burgers,grid,20.0,0.0,10.0,10.0,200.0,fixed,0.4865342234051915,0.0702119022607803,220.0,50.0,4.0,1,True,0.028696232783899
burgers,grid,20.0,0.0,10.0,10.0,300.0,fixed,0.4406861830844535,0.0778313875198364,320.0,50.0,4.0,1,True,0.028696232783899
burgers,grid,20.0,0.0,1.0,1.0,100.0,fixed,0.5317546160746527,0.0782615765929222,120.0,50.0,4.0,2,True,0.0181742513325624
burgers,grid,20.0,0.0,1.0,1.0,200.0,fixed,0.4237140097221559,0.0665400847792625,220.0,50.0,4.0,2,True,0.0181742513325624
burgers,grid,20.0,0.0,1.0,1.0,300.0,fixed,0.5694779474978383,0.0821829065680503,320.0,50.0,4.0,2,True,0.0181742513325624
burgers,grid,20.0,0.0,1.0,10.0,100.0,fixed,0.5692783347702185,0.0295270904898643,120.0,50.0,4.0,2,True,0.0181742513325624
burgers,grid,20.0,0.0,1.0,10.0,200.0,fixed,0.6024561713524956,0.0192320514470338,220.0,50.0,4.0,2,True,0.0181742513325624
burgers,grid,20.0,0.0,1.0,10.0,300.0,fixed,0.6181074665687646,0.0231831520795822,320.0,50.0,4.0,2,True,0.0181742513325624
burgers,grid,20.0,0.0,10.0,1.0,100.0,fixed,0.3386673697145828,0.2150051295757293,120.0,50.0,4.0,2,True,0.0181742513325624
burgers,grid,20.0,0.0,10.0,1.0,200.0,fixed,0.4212161474207311,0.2610509097576141,220.0,50.0,4.0,2,True,0.0181742513325624
burgers,grid,20.0,0.0,10.0,1.0,300.0,fixed,0.5478231056829065,0.2693739831447601,320.0,50.0,4.0,2,True,0.0181742513325624
burgers,grid,20.0,0.0,10.0,10.0,100.0,fixed,0.3246262007509348,0.0609905198216438,120.0,50.0,4.0,2,True,0.0181742513325624
burgers,grid,20.0,0.0,10.0,10.0,200.0,fixed,0.4459854803516561,0.0850127786397934,220.0,50.0,4.0,2,True,0.0181742513325624
burgers,grid,20.0,0.0,10.0,10.0,300.0,fixed,0.4956009093974531,0.091284804046154,320.0,50.0,4.0,2,True,0.0181742513325624
burgers,grid_gradnorm,20.0,0.0,1.0,1.0,100.0,gradnorm,0.6017389437742062,0.0542824603617191,120.0,50.0,4.0,0,True,0.0210818543923333
burgers,grid_gradnorm,20.0,0.0,1.0,1.0,200.0,gradnorm,0.8888404378668713,0.0026951872278004,220.0,50.0,4.0,0,True,0.0210818543923333
burgers,grid_gradnorm,20.0,0.0,1.0,1.0,300.0,gradnorm,1.0451555106537609,0.000598270795308,320.0,50.0,4.0,0,True,0.0210818543923333
burgers,grid_gradnorm,20.0,0.0,1.0,1.0,100.0,gradnorm,0.8913689627852674,0.002283988520503,120.0,50.0,4.0,1,True,0.028696232783899
burgers,grid_gradnorm,20.0,0.0,1.0,1.0,200.0,gradnorm,0.9977760784028316,0.0006946233916096,220.0,50.0,4.0,1,True,0.028696232783899
burgers,grid_gradnorm,20.0,0.0,1.0,1.0,300.0,gradnorm,0.8208122981000388,0.0146621484309434,320.0,50.0,4.0,1,True,0.028696232783899
burgers,grid_gradnorm,20.0,0.0,1.0,1.0,100.0,gradnorm,1.0384567914595386,0.0004513118765316,120.0,50.0,4.0,2,True,0.0181742513325624
burgers,grid_gradnorm,20.0,0.0,1.0,1.0,200.0,gradnorm,0.6623112552951111,0.0225211828947067,220.0,50.0,4.0,2,True,0.0181742513325624
burgers,grid_gradnorm,20.0,0.0,1.0,1.0,300.0,gradnorm,0.9868216831446668,0.0013949999120086,320.0,50.0,4.0,2,True,0.0181742513325624
burgers,grid_relobralo,20.0,0.0,1.0,1.0,100.0,relobralo,0.5042740133240147,0.0761101022362709,120.0,50.0,4.0,0,True,0.021081854392333378
burgers,grid_relobralo,20.0,0.0,1.0,1.0,200.0,relobralo,0.49483340851919977,0.051944270730018616,220.0,50.0,4.0,0,True,0.021081854392333378
burgers,grid_relobralo,20.0,0.0,1.0,1.0,300.0,relobralo,0.5192475244589799,0.059718381613492966,320.0,50.0,4.0,0,True,0.021081854392333378
burgers,grid_relobralo,20.0,0.0,1.0,1.0,100.0,relobralo,0.4315846120664414,0.05456744506955147,120.0,50.0,4.0,1,True,0.02869623278389905
burgers,grid_relobralo,20.0,0.0,1.0,1.0,200.0,relobralo,0.5089089486806844,0.05534952133893967,220.0,50.0,4.0,1,True,0.02869623278389905
burgers,grid_relobralo,20.0,0.0,1.0,1.0,300.0,relobralo,0.4630789550060625,0.06776456534862518,320.0,50.0,4.0,1,True,0.02869623278389905
burgers,grid_relobralo,20.0,0.0,1.0,1.0,100.0,relobralo,0.5792533186852231,0.052688680589199066,120.0,50.0,4.0,2,True,0.018174251332562428
burgers,grid_relobralo,20.0,0.0,1.0,1.0,200.0,relobralo,0.5235713252059048,0.06117035821080208,220.0,50.0,4.0,2,True,0.018174251332562428
burgers,grid_relobralo,20.0,0.0,1.0,1.0,300.0,relobralo,0.6005013722130216,0.06258190423250198,320.0,50.0,4.0,2,True,0.018174251332562428
