pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed,real_data,data_source
cylinder_wake,grid,500.0,0.0,1.0,1.0,100.0,fixed,0.4843893051147461,0.033843498677015305,600.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,500.0,0.0,1.0,1.0,200.0,fixed,0.4940569996833801,0.03510985150933266,700.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,500.0,0.0,1.0,1.0,300.0,fixed,0.49036702513694763,0.030506709590554237,800.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,500.0,0.0,1.0,10.0,100.0,fixed,0.49927377700805664,0.008837377652525902,600.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,500.0,0.0,1.0,10.0,200.0,fixed,0.5091221332550049,0.010363218374550343,700.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,500.0,0.0,1.0,10.0,300.0,fixed,0.49942368268966675,0.010785598307847977,800.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,500.0,0.0,10.0,1.0,100.0,fixed,0.4985661208629608,0.05233770236372948,600.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,500.0,0.0,10.0,1.0,200.0,fixed,0.4888129234313965,0.05071385204792023,700.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,500.0,0.0,10.0,1.0,300.0,fixed,0.48659470677375793,0.0620439387857914,800.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,500.0,0.0,10.0,10.0,100.0,fixed,0.4873492419719696,0.025299085304141045,600.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,500.0,0.0,10.0,10.0,200.0,fixed,0.4928646385669708,0.03312757611274719,700.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
