pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,hidden_dim,n_layers,experiment,n_seeds,f1_l2_error_mean,f1_l2_error_std,f1_l2_error_min,f1_l2_error_max,f2_pde_residual_mean,f2_pde_residual_std,f2_pde_residual_min,f2_pde_residual_max,f3_data_budget_mean,f3_data_budget_std,f3_data_budget_min,f3_data_budget_max
burgers,baseline_fixed,0.0,0.0,10.0,1.0,200.0,fixed,50.0,4.0,burgers_baseline_fixed,5,0.45252965775925597,0.04684001168680341,0.4047687243937735,0.505604894491994,0.25603797733783723,0.04229608373832536,0.213734745979309,0.3264640569686889,200.0,0.0,200.0,200.0
burgers,grid,0.0,0.0,1.0,1.0,100.0,fixed,50.0,4.0,burgers_grid_clean,5,0.45030162395937845,0.09871280844275897,0.2946170442824233,0.5525195429619869,0.0635860107839107,0.01333685439612541,0.0416451133787632,0.0779143273830413,100.0,0.0,100.0,100.0
burgers,grid,0.0,0.0,1.0,1.0,200.0,fixed,50.0,4.0,burgers_grid_clean,5,0.4535735668331382,0.03449888968118816,0.4122505902610691,0.5078847149711805,0.08212310224771495,0.012139863957871155,0.067905843257904,0.0980361476540565,200.0,0.0,200.0,200.0
burgers,grid,0.0,0.0,1.0,1.0,300.0,fixed,50.0,4.0,burgers_grid_clean,5,0.4776864585057736,0.019870658088220052,0.4574455006824965,0.5099571175110239,0.08644954711198802,0.005049406026433699,0.0820149257779121,0.0928895696997642,300.0,0.0,300.0,300.0
burgers,grid,0.0,0.0,1.0,10.0,100.0,fixed,50.0,4.0,burgers_grid_clean,5,0.5868217505069454,0.07024079189913213,0.4694212178072016,0.6540060873986971,0.024736850708722998,0.0017207186731574044,0.0232105869799852,0.0274664778262376,100.0,0.0,100.0,100.0
burgers,grid,0.0,0.0,1.0,10.0,200.0,fixed,50.0,4.0,burgers_grid_clean,5,0.6372388584747768,0.06143627652734035,0.5917713651619932,0.7401328471958881,0.026439310982823337,0.0039260407843665825,0.0214477553963661,0.031495451927185,200.0,0.0,200.0,200.0
burgers,grid,0.0,0.0,1.0,10.0,300.0,fixed,50.0,4.0,burgers_grid_clean,5,0.6565622696016025,0.063537090021241,0.5738381271189726,0.726321742318772,0.0272116038948297,0.0041691133459454245,0.0221678242087364,0.0317703634500503,300.0,0.0,300.0,300.0
burgers,grid,0.0,0.0,10.0,1.0,100.0,fixed,50.0,4.0,burgers_grid_clean,5,0.5506597868555174,0.10956778308134353,0.4595445284999754,0.7366091560045872,0.24771595895290374,0.02928410824198637,0.212550014257431,0.2845996916294098,100.0,0.0,100.0,100.0
burgers,grid,0.0,0.0,10.0,1.0,200.0,fixed,50.0,4.0,burgers_grid_clean,5,0.4716971065577564,0.017638102306573224,0.4496813153735872,0.4939976636773044,0.2926132202148437,0.0282853561290205,0.2584062814712524,0.3343429565429687,200.0,0.0,200.0,200.0
burgers,grid,0.0,0.0,10.0,1.0,300.0,fixed,50.0,4.0,burgers_grid_clean,5,0.45637322227474264,0.04062977629779746,0.4100980385689589,0.5025277976635935,0.3009627670049667,0.043013057560633554,0.24518783390522,0.3535646200180053,300.0,0.0,300.0,300.0
