pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed
poisson2d,grid,0.0,0.0,0.1,0.1,100.0,fixed,0.1303788125514984,0.11329779028892517,100.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,0.1,0.1,200.0,fixed,0.12095744907855988,0.11640338599681854,200.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,0.1,0.1,300.0,fixed,0.15779252350330353,0.13292385637760162,300.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,0.1,1.0,100.0,fixed,1.5928689241409302,0.159026101231575,100.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,0.1,1.0,200.0,fixed,0.3874867856502533,0.14100466668605804,200.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,0.1,1.0,300.0,fixed,0.7129217982292175,0.14517082273960114,300.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,0.1,10.0,100.0,fixed,2.192890167236328,0.1514567732810974,100.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,0.1,10.0,200.0,fixed,2.1949048042297363,0.160291850566864,200.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,0.1,10.0,300.0,fixed,1.9231197834014893,0.1693144142627716,300.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,1.0,0.1,100.0,fixed,0.10952241718769073,0.0990479364991188,100.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,1.0,0.1,200.0,fixed,0.1374010443687439,0.14835254848003387,200.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,1.0,0.1,300.0,fixed,0.1009024903178215,0.12411811947822571,300.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,1.0,1.0,100.0,fixed,0.165985107421875,0.12181301414966583,100.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,1.0,1.0,200.0,fixed,0.1496468335390091,0.161723330616951,200.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,1.0,1.0,300.0,fixed,0.14694349467754364,0.11451411247253418,300.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,1.0,10.0,100.0,fixed,0.5355255007743835,0.10157543420791626,100.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,1.0,10.0,200.0,fixed,0.46798890829086304,0.1412762999534607,200.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,1.0,10.0,300.0,fixed,0.6780596375465393,0.19170835614204407,300.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,10.0,0.1,100.0,fixed,0.05341494828462601,0.2006426453590393,100.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,10.0,0.1,200.0,fixed,0.06122232601046562,0.29237309098243713,200.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,10.0,0.1,300.0,fixed,0.04259895533323288,0.22090855240821838,300.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,10.0,1.0,100.0,fixed,0.09221682697534561,0.1459328532218933,100.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.10058283805847168,0.10291460901498795,200.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.0980944111943245,0.12220223993062973,300.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,10.0,10.0,100.0,fixed,0.1560739129781723,0.12644053995609283,100.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,10.0,10.0,200.0,fixed,0.13396775722503662,0.15476350486278534,200.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,10.0,10.0,300.0,fixed,0.1536594033241272,0.1222386434674263,300.0,50.0,4.0,0
poisson2d,grid,0.0,0.0,0.1,0.1,100.0,fixed,0.14656491577625275,0.10845139622688293,100.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,0.1,0.1,200.0,fixed,0.1669701486825943,0.1404111534357071,200.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,0.1,0.1,300.0,fixed,0.13286437094211578,0.13449208438396454,300.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,0.1,1.0,100.0,fixed,0.5025891661643982,0.15656119585037231,100.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,0.1,1.0,200.0,fixed,0.5241867899894714,0.14226557314395905,200.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,0.1,1.0,300.0,fixed,0.26872190833091736,0.12213917076587677,300.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,0.1,10.0,100.0,fixed,2.295281410217285,0.1825059950351715,100.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,0.1,10.0,200.0,fixed,1.913663625717163,0.1808638721704483,200.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,0.1,10.0,300.0,fixed,2.247976303100586,0.22435832023620605,300.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,1.0,0.1,100.0,fixed,0.12817712128162384,0.1183001771569252,100.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,1.0,0.1,200.0,fixed,0.10712476819753647,0.13189999759197235,200.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,1.0,0.1,300.0,fixed,0.1244344487786293,0.11590390652418137,300.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,1.0,1.0,100.0,fixed,0.16566434502601624,0.15979090332984924,100.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,1.0,1.0,200.0,fixed,0.14337755739688873,0.12848767638206482,200.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,1.0,1.0,300.0,fixed,0.1558258980512619,0.19272087514400482,300.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,1.0,10.0,100.0,fixed,0.41883671283721924,0.11444101482629776,100.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,1.0,10.0,200.0,fixed,0.7954187989234924,0.1990322470664978,200.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,1.0,10.0,300.0,fixed,0.3126833438873291,0.12311269342899323,300.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,10.0,0.1,100.0,fixed,0.04984471946954727,0.21994030475616455,100.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,10.0,0.1,200.0,fixed,0.04287303611636162,0.20262601971626282,200.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,10.0,0.1,300.0,fixed,0.038915906101465225,0.18029677867889404,300.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,10.0,1.0,100.0,fixed,0.09748627245426178,0.12627467513084412,100.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.10230375826358795,0.10739269852638245,200.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.10935129225254059,0.14515291154384613,300.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,10.0,10.0,100.0,fixed,0.1457522213459015,0.1661706119775772,100.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,10.0,10.0,200.0,fixed,0.16987857222557068,0.13652148842811584,200.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,10.0,10.0,300.0,fixed,0.13383881747722626,0.13491010665893555,300.0,50.0,4.0,1
poisson2d,grid,0.0,0.0,0.1,0.1,100.0,fixed,0.15244917571544647,0.1309317946434021,100.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,0.1,0.1,200.0,fixed,0.13418345153331757,0.14726842939853668,200.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,0.1,0.1,300.0,fixed,0.15558503568172455,0.13224610686302185,300.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,0.1,1.0,100.0,fixed,1.0999152660369873,0.15940497815608978,100.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,0.1,1.0,200.0,fixed,0.331186980009079,0.1475754976272583,200.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,0.1,1.0,300.0,fixed,0.5822018980979919,0.12751571834087372,300.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,0.1,10.0,100.0,fixed,1.6739861965179443,0.127888023853302,100.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,0.1,10.0,200.0,fixed,2.232640504837036,0.1820233315229416,200.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,0.1,10.0,300.0,fixed,2.182000160217285,0.19062674045562744,300.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,1.0,0.1,100.0,fixed,0.10544010996818542,0.12555918097496033,100.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,1.0,0.1,200.0,fixed,0.13147376477718353,0.10887785255908966,200.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,1.0,0.1,300.0,fixed,0.09701335430145264,0.15429559350013733,300.0,50.0,4.0,2
