pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed
poisson,grid,0.0,0.0,0.1,0.1,100.0,fixed,0.004102667793631554,0.03339743986725807,100.0,50.0,4.0,0
poisson,grid,0.0,0.0,0.1,0.1,200.0,fixed,0.004769444931298494,0.042771175503730774,200.0,50.0,4.0,0
poisson,grid,0.0,0.0,0.1,0.1,300.0,fixed,0.0031914631836116314,0.04329737648367882,300.0,50.0,4.0,0
poisson,grid,0.0,0.0,0.1,1.0,100.0,fixed,0.0930146649479866,0.011752855964004993,100.0,50.0,4.0,0
poisson,grid,0.0,0.0,0.1,1.0,200.0,fixed,0.0218857042491436,0.011223534122109413,200.0,50.0,4.0,0
poisson,grid,0.0,0.0,0.1,1.0,300.0,fixed,0.0918152779340744,0.028019554913043976,300.0,50.0,4.0,0
poisson,grid,0.0,0.0,0.1,10.0,100.0,fixed,1.7187923192977905,0.020842107012867928,100.0,50.0,4.0,0
poisson,grid,0.0,0.0,0.1,10.0,200.0,fixed,2.139507293701172,0.03702087327837944,200.0,50.0,4.0,0
poisson,grid,0.0,0.0,0.1,10.0,300.0,fixed,2.209710121154785,0.016631895676255226,300.0,50.0,4.0,0
poisson,grid,0.0,0.0,1.0,0.1,100.0,fixed,0.0007064263336360455,0.04054878279566765,100.0,50.0,4.0,0
poisson,grid,0.0,0.0,1.0,0.1,200.0,fixed,0.0012137105222791433,0.037665046751499176,200.0,50.0,4.0,0
poisson,grid,0.0,0.0,1.0,0.1,300.0,fixed,0.0007617908413521945,0.05484355241060257,300.0,50.0,4.0,0
poisson,grid,0.0,0.0,1.0,1.0,100.0,fixed,0.002951935864984989,0.029824605211615562,100.0,50.0,4.0,0
poisson,grid,0.0,0.0,1.0,1.0,200.0,fixed,0.006348186172544956,0.05653064697980881,200.0,50.0,4.0,0
poisson,grid,0.0,0.0,1.0,1.0,300.0,fixed,0.0073841651901602745,0.05599670484662056,300.0,50.0,4.0,0
poisson,grid,0.0,0.0,1.0,10.0,100.0,fixed,0.01742926985025406,0.019181836396455765,100.0,50.0,4.0,0
poisson,grid,0.0,0.0,1.0,10.0,200.0,fixed,0.051770035177469254,0.03687544912099838,200.0,50.0,4.0,0
poisson,grid,0.0,0.0,1.0,10.0,300.0,fixed,0.07811210304498672,0.021384865045547485,300.0,50.0,4.0,0
poisson,grid,0.0,0.0,10.0,0.1,100.0,fixed,0.0016490912530571222,0.09048938006162643,100.0,50.0,4.0,0
poisson,grid,0.0,0.0,10.0,0.1,200.0,fixed,0.0032377364113926888,0.057798709720373154,200.0,50.0,4.0,0
poisson,grid,0.0,0.0,10.0,0.1,300.0,fixed,0.02147628366947174,0.07547496259212494,300.0,50.0,4.0,0
poisson,grid,0.0,0.0,10.0,1.0,100.0,fixed,0.0008930704207159579,0.03660833463072777,100.0,50.0,4.0,0
poisson,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.00039648343226872385,0.03201200067996979,200.0,50.0,4.0,0
poisson,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.0006339731044135988,0.036732982844114304,300.0,50.0,4.0,0
poisson,grid,0.0,0.0,10.0,10.0,100.0,fixed,0.005620598327368498,0.04618024453520775,100.0,50.0,4.0,0
poisson,grid,0.0,0.0,10.0,10.0,200.0,fixed,0.002153421752154827,0.018332133069634438,200.0,50.0,4.0,0
poisson,grid,0.0,0.0,10.0,10.0,300.0,fixed,0.003575830953195691,0.033044129610061646,300.0,50.0,4.0,0
poisson,grid,0.0,0.0,0.1,0.1,100.0,fixed,0.005054567474871874,0.04576869308948517,100.0,50.0,4.0,1
poisson,grid,0.0,0.0,0.1,0.1,200.0,fixed,0.0030900316778570414,0.041454337537288666,200.0,50.0,4.0,1
poisson,grid,0.0,0.0,0.1,0.1,300.0,fixed,0.004271199926733971,0.0374138243496418,300.0,50.0,4.0,1
poisson,grid,0.0,0.0,0.1,1.0,100.0,fixed,0.01363286841660738,0.0069791697897017,100.0,50.0,4.0,1
poisson,grid,0.0,0.0,0.1,1.0,200.0,fixed,0.10428840667009354,0.030067825689911842,200.0,50.0,4.0,1
poisson,grid,0.0,0.0,0.1,1.0,300.0,fixed,0.019475813955068588,0.025998681783676147,300.0,50.0,4.0,1
poisson,grid,0.0,0.0,0.1,10.0,100.0,fixed,2.146601676940918,0.03594774380326271,100.0,50.0,4.0,1
poisson,grid,0.0,0.0,0.1,10.0,200.0,fixed,2.169076919555664,0.014694297686219215,200.0,50.0,4.0,1
poisson,grid,0.0,0.0,0.1,10.0,300.0,fixed,2.318645477294922,0.021931977942585945,300.0,50.0,4.0,1
poisson,grid,0.0,0.0,1.0,0.1,100.0,fixed,0.0010110260918736458,0.03479044884443283,100.0,50.0,4.0,1
poisson,grid,0.0,0.0,1.0,0.1,200.0,fixed,0.0008947913302108645,0.05649283528327942,200.0,50.0,4.0,1
poisson,grid,0.0,0.0,1.0,0.1,300.0,fixed,0.005877126939594746,0.03857804462313652,300.0,50.0,4.0,1
poisson,grid,0.0,0.0,1.0,1.0,100.0,fixed,0.007071397732943296,0.061655912548303604,100.0,50.0,4.0,1
poisson,grid,0.0,0.0,1.0,1.0,200.0,fixed,0.0074365632608532906,0.05841825157403946,200.0,50.0,4.0,1
poisson,grid,0.0,0.0,1.0,1.0,300.0,fixed,0.003687414573505521,0.02989117056131363,300.0,50.0,4.0,1
poisson,grid,0.0,0.0,1.0,10.0,100.0,fixed,0.044748760759830475,0.0452439971268177,100.0,50.0,4.0,1
poisson,grid,0.0,0.0,1.0,10.0,200.0,fixed,0.08138161897659302,0.02225416712462902,200.0,50.0,4.0,1
poisson,grid,0.0,0.0,1.0,10.0,300.0,fixed,0.280954509973526,0.02857399545609951,300.0,50.0,4.0,1
poisson,grid,0.0,0.0,10.0,0.1,100.0,fixed,0.0026437214110046625,0.06772680580615997,100.0,50.0,4.0,1
poisson,grid,0.0,0.0,10.0,0.1,200.0,fixed,0.050750210881233215,0.0841340646147728,200.0,50.0,4.0,1
poisson,grid,0.0,0.0,10.0,0.1,300.0,fixed,0.04318537190556526,0.07879982888698578,300.0,50.0,4.0,1
poisson,grid,0.0,0.0,10.0,1.0,100.0,fixed,0.0006003572489134967,0.03198753297328949,100.0,50.0,4.0,1
poisson,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.0006460541626438498,0.03599719703197479,200.0,50.0,4.0,1
poisson,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.0006379722035489976,0.04579613730311394,300.0,50.0,4.0,1
poisson,grid,0.0,0.0,10.0,10.0,100.0,fixed,0.0025399269070476294,0.019362634047865868,100.0,50.0,4.0,1
