pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,f1_l2_error,f2_pde_residual,f3_data_budget,balancer,hidden_dim,n_layers
poisson,grid,0.0,0.0,0.1,0.1,100.0,0.0009024417959153652,0.017833635210990906,100.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,0.1,0.1,200.0,0.0007083449745550752,0.014019131660461426,200.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,0.1,0.1,300.0,0.0036819756496697664,0.0118938647210598,300.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,0.1,1.0,100.0,0.004727590829133987,0.010048534721136093,100.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,0.1,1.0,200.0,0.0013428166275843978,0.006167127285152674,200.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,0.1,1.0,300.0,0.0005868938751518726,0.005460748448967934,300.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,0.1,10.0,100.0,0.02633405104279518,0.00897978525608778,100.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,0.1,10.0,200.0,0.2558741271495819,0.019855543971061707,200.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,0.1,10.0,300.0,0.07028838247060776,0.009456949308514595,300.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,1.0,0.1,100.0,0.0004336671263445169,0.01675598695874214,100.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,1.0,0.1,200.0,6.444586324505508e-05,0.012454607523977757,200.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,1.0,0.1,300.0,0.0004105275438632816,0.029582751914858818,300.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,1.0,1.0,100.0,0.00046967726666480303,0.012371616438031197,100.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,1.0,1.0,200.0,0.00023087221779860556,0.0037551468703895807,200.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,1.0,1.0,300.0,0.000315135985147208,0.004605136811733246,300.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,1.0,10.0,100.0,0.0013815093552693725,0.007836983539164066,100.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,1.0,10.0,200.0,0.0005544339073821902,0.0038273341488093138,200.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,1.0,10.0,300.0,0.0013733016094192863,0.004465902224183083,300.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,10.0,0.1,100.0,0.00013865780783817172,0.01866837590932846,100.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,10.0,0.1,200.0,0.001232982613146305,0.024810397997498512,200.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,10.0,0.1,300.0,0.0003988543467130512,0.04629591479897499,300.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,10.0,1.0,100.0,0.0005407435237430036,0.017109865322709084,100.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,10.0,1.0,200.0,0.00032333043054677546,0.017896898090839386,200.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,10.0,1.0,300.0,0.0003938887093681842,0.026217268779873848,300.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,10.0,10.0,100.0,0.00041132039041258395,0.009703535586595535,100.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,10.0,10.0,200.0,0.00010128632129635662,0.003234662115573883,200.0,fixed,50.0,4.0
poisson,grid,0.0,0.0,10.0,10.0,300.0,0.0007092005107551813,0.010202913545072079,300.0,fixed,50.0,4.0
